n,Time F1,Time F2,Time F3,Time F4 
0, 0.000002112, 0.000001462, 0.000001272, 0.000017009
1, 0.000001516, 0.000001274, 0.000001266, 0.000012627
2, 0.000001418, 0.000001136, 0.000000975, 0.000001235
3, 0.000001003, 0.000000979, 0.000001133, 0.000010586
4, 0.000001485, 0.000001051, 0.000000974, 0.000001326
5, 0.000001104, 0.000000938, 0.000000992, 0.000001099
6, 0.000001150, 0.000001248, 0.000001232, 0.000001458
7, 0.000001578, 0.000001219, 0.000001308, 0.000001548
8, 0.000001793, 0.000001313, 0.000001316, 0.000001588
9, 0.000001998, 0.000001231, 0.000001364, 0.000001531
10, 0.000002036, 0.000001241, 0.000001332, 0.000001515
11, 0.000002313, 0.000001189, 0.000001244, 0.000001434
12, 0.000002911, 0.000001257, 0.000001203, 0.000001439
13, 0.000004010, 0.000001240, 0.000001331, 0.000001462
14, 0.000005321, 0.000001223, 0.000001204, 0.000001547
15, 0.000008228, 0.000001281, 0.000001251, 0.000001480
16, 0.000011262, 0.000001203, 0.000001229, 0.000001467
17, 0.000018626, 0.000001009, 0.000001164, 0.000001509
18, 0.000029031, 0.000000968, 0.000001173, 0.000001464
19, 0.000041929, 0.000000959, 0.000001194, 0.000001522
20, 0.000062555, 0.000000951, 0.000001119, 0.000001466
21, 0.000095867, 0.000000986, 0.000001189, 0.000001497
22, 0.000150167, 0.000000958, 0.000001197, 0.000001542
23, 0.000238124, 0.000000970, 0.000001123, 0.000001449
24, 0.000384291, 0.000001478, 0.000001200, 0.000001536
25, 0.000640006, 0.000001344, 0.000001164, 0.000001307
26, 0.001240673, 0.000001236, 0.000001225, 0.000001510
27, 0.001973115, 0.000001215, 0.000001349, 0.000001756
28, 0.003641020, 0.000001599, 0.000001672, 0.000001951
29, 0.006876972, 0.000001750, 0.000001712, 0.000002042
30, 0.011184740, 0.000001862, 0.000001675, 0.000002376
31, 0.013053497, 0.000000973, 0.000000877, 0.000001389
32, 0.011848071, 0.000000666, 0.000000678, 0.000000974
33, 0.013573319, 0.000000564, 0.000000509, 0.000000802
34, 0.020810771, 0.000000459, 0.000000422, 0.000000683
35, 0.034006743, 0.000000466, 0.000000422, 0.000000724
36, 0.053087626, 0.000000511, 0.000000429, 0.000000785
37, 0.085054518, 0.000000534, 0.000000439, 0.000000942
38, 0.137731234, 0.000000548, 0.000000442, 0.000001022
39, 0.223113355, 0.000000530, 0.000000437, 0.000001440
40, 0.359608730, 0.000000514, 0.000000435, 0.000000806
