n;f1;f2;f3;f4;f5;f6
1;3.613E-06;1.943E-06;1.921E-06;1.878E-06;1.929E-06;1.948E-06
10000;6.4844E-05;0.073399598;0.13533972;2.2976E-05;0.067665726;0.112674907
20000;2.7623E-05;0.267060501;0.538011424;4.5692E-05;0.272720225;0.454037353
30000;4.103E-05;0.605208822;1.200123816;6.7224E-05;0.608816272;1.015876979
40000;5.4944E-05;1.065053449;2.126368849;9.0097E-05;1.083471113;1.811518521
50000;6.8756E-05;1.659397357;3.348019235;0.000112911;1.987848329;3.237753932
60000;8.2039E-05;2.68241822;5.291847259;0.000135487;2.50275747;4.170477967
70000;9.6202E-05;3.349223198;6.664782039;0.000166303;3.405060845;5.682676757
80000;0.000108677;4.35155555;8.706215454;0.000180617;4.422579124;7.575512023
90000;0.0001231;5.524419284;11.022653011;0.000202897;5.612473193;9.416807369
100000;0.000137173;6.79754223;13.610866684;0.000224664;6.928231663;11.60414854
